year,category,title,link
2022,t20,"??Short Highlights | ????Kenya Vs ????Tanzania | Group B, Match 6 , ACA Africa Cup T20 | Sep 17th, 2022",https://www.youtube.com/watch?v=JFBdl5zmfRg
2021,t20,1st Dafabet USA v Ireland T20 International Highlights | USA Take Historic First Win vs Test Nation!,https://www.youtube.com/watch?v=u3XOTEQ3124
2021,t20,4th T20I - MAL vs BEL| Highlights | Malta vs Belgium T20I Series | Malta 2021,https://www.youtube.com/watch?v=EQ_P7SUPrO0
2021,t20,oman and Scotland highlight match,https://www.youtube.com/watch?v=2-w4IwEjY2o
2021,t20,Pakistan vs South Africa 2021 | 1st T20 Full Highlights | Cricket South Africa | CSA | MJ2E,https://www.youtube.com/watch?v=UBZ01exwW1I
2021,t20,Match 2 - SWE vs NOR | Highlights | Dream11 European Cricket Championship Day 1 | ECC21 | ECC21.002,https://www.youtube.com/watch?v=cL2XqfIVMtk
2021,t20,"Buttler, Rohit & More Star in Dramatic 2018 Series! | England v India Full IT20 Series Highlights",https://www.youtube.com/watch?v=qiynZtEiHZs
2021,t20,Highest Chase In T20 History | HIGHLIGHTS | Trans-Tasman Tri Series | BLACKCAPS v Australia,https://www.youtube.com/watch?v=o4qnuo2Z8dQ
2021,t20,Highlights | West Indies v Sri Lanka | Hasaranga Stars Despite McCoy Flourish |2nd CG Insurance T20I,https://www.youtube.com/watch?v=5lQ_BuyZGvY
2021,t20,Pakistan vs South Africa 2021 | 3rd T20 Full Highlights | Cricket South Africa | CSA | MJ2E,https://www.youtube.com/watch?v=xi7_vSp1-hw
2021,t20,England v Sri Lanka - Highlights | Buttler Leads Dominant Display | 1st Men’s Vitality IT20 2021,https://www.youtube.com/watch?v=IWH6TyK8uv8
2020,t20,Heavy Fighting Match | Pakistan Vs New Zealand | 1st T20I | Highlights | PCB,https://www.youtube.com/watch?v=Xw5yDursrwM
2020,t20,India take 1-0 lead after dramatic T20 opener | Dettol T20I Series 2020,https://www.youtube.com/watch?v=qWUsV2Ios8A
2020,t20,England v Australia - Highlights | Great Drama After Stunning Comeback! | 1st Vitality IT20 2020,https://www.youtube.com/watch?v=czNNLUe1Q84
2020,t20,Malaysia vs Hong Kong | ACC Eastern Region T20 | Highlights,https://www.youtube.com/watch?v=tfL7CJuT50I
2019,t20,India March On With Easy Win | West Indies vs India - Match Highlights | ICC Cricket World Cup 2019,https://www.youtube.com/watch?v=jm2r5xzYx-A
2019,t20,Rohit Sharma Hits 140! | India v Pakistan - Match Highlights | ICC Cricket World Cup 2019,https://www.youtube.com/watch?v=AFEZzf9_Ehk
2019,t20,Pakistan Bounced Out For 105 | Windies vs Pakistan - Match Highlights | ICC Cricket World Cup 2019,https://www.youtube.com/watch?v=0Nyg7-S1UCM
2023,t20,Highlights | Bangladesh Women vs India Women | 3rd T20i Match,https://www.youtube.com/watch?v=dmeonc3yUJw
2022,t20,"Verma, Knight & Dunkley Star as India Fight to Draw! | Full Test Highlights - England Women v India",https://www.youtube.com/watch?v=ymRcTNTN_MA
2023,t20,Close Scoring Thriller! | Highlights - England v Australia | 2nd Women's Vitality IT20 2023,https://www.youtube.com/watch?v=YzVTI2ThpnQ
2023,t20,2nd ODI | Highlights | Women's Ashes | England vs Australia | 16th July 2023,https://www.youtube.com/watch?v=E6c89wkW1O8
2023,t20,Australia Women vs South Africa WomenFinal T20 World Cup 2023 Highlights |AUSW vs SAW Highlights,https://www.youtube.com/watch?v=uQhULQcCvLA
2023,t20,Highlights | West Indies Women v Ireland Women | 8 Wicket Win! | 3rd T20,https://www.youtube.com/watch?v=UrQvBrS5f58
2022,t20,"HIGHLIGHTS: USA vs Bangladesh ICC Women's T20 World Cup Qualifier, Abu Dhabi",https://www.youtube.com/watch?v=aCzJduMJGiA
2022,t20,"HIGHLIGHTS: USA vs Ireland ICC Women's T20 World Cup Qualifier, Abu Dhabi",https://www.youtube.com/watch?v=zLbYwdsawSg
2021,t20,South Africa Women vs Pakistan Women | 1st T20 Highlights | PCB | MJ2E,https://www.youtube.com/watch?v=6SfBXDMvvP8
2022,t20,Women's T20 Cricket | South Africa vs England | Commonwealth Games 2022 | Birmingham | Highlights,https://www.youtube.com/watch?v=TlhvYsQov00
